report_number,agency,crime_type,crime_date,report_date,location,disposition,latitude,longitude
2026-08030072,FSUPD,DWLSR REVOCATION EQUIV STATUS 2ND OFF,2026-08-03T16:48:00,2026-08-03T16:48:00,"STADIUM DR/HENDRY ST , Tallahassee, FL 32306",Cleared by Citation,,
2026-08030072,FSUPD,UNLAWFUL SPEED MUNICIPAL RD,2026-08-03T16:48:00,2026-08-03T16:48:00,"STADIUM DR/HENDRY ST , Tallahassee, FL 32306",Cleared by Citation,,
2026-08030068,FSUPD,ATTACH REGISTRATION LICENSE PLATE NOT ASSIGNED,2026-08-03T16:07:00,2026-08-03T16:07:00,"602 W CALL ST , TALLAHASSEE, FL 32304",Cleared by Citation,30.4439994,-84.2910738
2026-08020103,FSUPD,AGGRAVATED ASSAULT W/ DEADLY WEAPON W/OUT INTENT TO KILL,2026-08-02T23:10:00,2026-08-02T23:14:00,"504 W CALL ST , TALLAHASSEE, FL 32301",Open/Pending,30.4437193,-84.2890334
2026-08020100,FSUPD,DWLS W/ KNOWLEDGE,2026-08-02T22:32:00,2026-08-02T22:32:00,"811 LAKE BRADFORD RD , TALLAHASSEE, FL 32304",Cleared by Citation,30.4336128,-84.3014193
2026-08020098,FSUPD,DISORDERLY CONDUCT,2026-08-02T22:14:00,2026-08-02T22:14:00,"CHAPEL DR , Tallahassee, FL 32304",Cleared by Arrest,30.4467166,-84.3103169
2026-08010119,FSUPD,It is unlawful for a person who has been arrested or lawfully detained by a law enforcement officer to give a false name,2026-08-01T22:20:00,2026-08-01T22:20:00,"W TENNESSEE ST/DEWEY ST , Tallahassee, FL",Cleared by Arrest,,
2026-08010119,FSUPD,RESISTING ARREST W/OUT VIOLENCE,2026-08-01T22:20:00,2026-08-01T22:20:00,"W TENNESSEE ST/DEWEY ST , Tallahassee, FL",Cleared by Arrest,,
2026-08010030,FSUPD,FAILURE TO APPEAR OF DEFENDANT ON BAIL FOR FELONY CHARGE,2026-08-01T04:36:00,2026-08-01T04:36:00,"1000 W TENNESSEE ST , TALLAHASSEE, FL 32306",Closed,30.446909,-84.2994474
2026-08010023,FSUPD,BURGLARY TO UNOCC STRUCTURE WHILE UNARMED,2026-08-01T02:35:00,2026-08-01T02:52:00,"411 STADIUM DR , TALLAHASSEE, FL 32306",Cleared by Arrest,30.438076,-84.3046449
2026-08010023,FSUPD,RESISTING ARREST W/OUT VIOLENCE,2026-08-01T02:35:00,2026-08-01T02:52:00,"411 STADIUM DR , TALLAHASSEE, FL 32306",Cleared by Arrest,30.438076,-84.3046449
2026-08010023,FSUPD,TRESPASS OF STRUCTURE OR CONVEYANCE,2026-08-01T02:35:00,2026-08-01T02:52:00,"411 STADIUM DR , TALLAHASSEE, FL 32306",Cleared by Arrest,30.438076,-84.3046449
2026-08010024,FSUPD,CRIMINAL MISCHIEF $201 - $999- 1ST OFFENSE,2026-07-31T23:50:00,2026-08-01T03:54:00,"500 W COLLEGE AVE , TALLAHASSEE, FL 32301",Open/Pending,30.44081,-84.28858
2026-07310146,FSUPD,POSSESSION OF NOT MORE THAN 20 GRAMS OF CANNABIS,2026-07-31T23:00:00,2026-07-31T23:00:00,"JACKSON BLUFF RD/HENDRY ST , TALLAHASSEE, FL 32304",Cleared by Arrest,,
2026-08040042,FSUPD,PETIT THEFT 2ND DEG,2026-07-31T14:00:00,2026-08-04T09:42:00,"113 COLLEGIATE LOOP , Tallahassee, FL 32306",Open/Pending,30.4416527,-84.2955294
2026-07310065,FSUPD,LEAVE SCENE OF CRASH INVOLVE DAMAGE TO PROP,2026-07-31T12:34:00,2026-07-31T12:37:00,"W JEFFERSON ST/GRAY ST , TALLAHASSEE, FL 32304",Open/Pending,,
2026-07310114,FSUPD,BURGLARY OF UNOCCUP DWELLING WHILE UNARMED,2026-07-31T05:00:00,2026-07-31T19:49:00,"1944 HERITAGE GROVE CIR , TALLAHASSEE, FL 32304",Open/Pending,30.4458107,-84.3147204
2026-07310114,FSUPD,GRAND THEFT $750 LESS THAN $5K,2026-07-31T05:00:00,2026-07-31T19:49:00,"1944 HERITAGE GROVE CIR , TALLAHASSEE, FL 32304",Open/Pending,30.4458107,-84.3147204
2026-07310094,FSUPD,CRIMINAL MISCHIEF $201 - $999- 1ST OFFENSE,2026-07-30T00:00:00,2026-07-31T17:23:00,"1501 GOVERNORS SQUARE BLVD , TALLAHASSEE, FL 32301",Open/Pending,30.4381241,-84.2579148
2026-08050092,FSUPD,CRIMINAL MISCHIEF $1000 OR MORE,2026-07-29T08:00:00,2026-08-05T14:37:00,"350 CHAPEL DR , TALLAHASSEE, FL 32304",Inactive,30.4450348,-84.3105036
2026-07280147,FSUPD,OPERATE MOTOR VEHICLE WO VALID LICENSE 1ST CONV,2026-07-28T20:48:00,2026-07-28T20:48:00,"W JEFFERSON ST/S COPELAND ST , TALLAHASSEE, FL",Cleared by Arrest,,
2026-07270096,FSUPD,DWLS W/OUT KNOWLEDGE,2026-07-27T15:33:00,2026-07-27T15:33:00,"1416 W TENNESSEE ST , TALLAHASSEE, FL 32304",Closed,30.4498187,-84.3059974
2026-07270095,FSUPD,OPERATE MOTOR VEHICLE W/O VALID LIC 3RD/SUBSQ,2026-07-27T15:24:00,2026-07-27T15:24:00,"MACOMB ST/PARK AVE W , Tallahassee, FL 32303",Cleared by Citation,,
2026-07260060,FSUPD,TRESPASS FAIL TO LEAVE PROP ON ORDER OF OWNER,2026-07-26T13:04:00,2026-07-26T13:04:00,"104 N WOODWARD AVE 1, TALLAHASSEE, FL 32306",Cleared by Arrest,,
2026-07260042,FSUPD,DRIV WHILE LIC SUSPEND REVOCATION EQUIV STATUS 1ST OFFENSE,2026-07-26T09:38:00,2026-07-26T09:38:00,"W CALL ST , FL",Cleared by Citation,30.4466358,-84.3061946
2026-07240061,FSUPD,GRAND THEFT $750 LESS THAN $5K,2026-07-24T12:30:00,2026-07-24T14:13:00,"111 N WOODWARD AVE , TALLAHASSEE, FL 32306",Victim Refused to Cooperate,30.4442304,-84.3005411
2026-07230061,FSUPD,DRIVER INVOLVED IN CRASH - FAILURE TO REPORT CRASH,2026-07-23T07:30:00,2026-07-23T15:09:00,"118 VARSITY WAY , TALLAHASSEE, FL 32306",Inactive,30.4419465,-84.3018533
2026-07220087,FSUPD,Other- PETIT THEFT 1ST DEG $100 LESS THAN $750,2026-07-22T13:00:00,2026-07-22T15:20:00,"75 N WOODWARD AVE , TALLAHASSEE, FL 32306",Open/Pending,30.4445043,-84.2971629
2026-07220066,FSUPD,OPERATE MOTOR VEHICLE WO VALID LICENSE 1ST CONV,2026-07-22T11:54:00,2026-07-22T11:54:00,"1610 W TENNESSEE ST , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4494482,-84.3081537
2026-07180113,FSUPD,OPERATE MOTOR VEHICLE WO VALID LICENSE 1ST CONV,2026-07-18T14:49:00,2026-07-18T14:50:00,"296 CHAMPIONS WAY , TALLAHASSEE, FL 32306",Cleared by Citation,30.4367617,-84.3053119
2026-07190001,FSUPD,CRIMINAL MISCHIEF $201 - $999- 1ST OFFENSE,2026-07-18T11:30:00,2026-07-18T23:59:00,"800 Block of W PENSACOLA ST , TALLAHASSEE, FL 32304",Open/Pending,,
2026-07180020,FSUPD,UNLAWFUL SPEED MUNICIPAL RD,2026-07-18T07:26:00,2026-07-18T07:26:00,"1410 W TENNESSEE ST , Tallahassee, FL 32304",Cleared by Citation,30.4494551,-84.3052706
2026-07170063,FSUPD,CRIMINAL MISCHIEF $201 - $999- 1ST OFFENSE,2026-07-17T11:43:00,2026-07-17T11:43:00,"447 W COLLEGE AVE , TALLAHASSEE, FL 32301",Open/Pending,30.4404671,-84.287703
2026-07170054,FSUPD,FAIL TO REGISTER MOTOR VEH,2026-07-17T10:28:00,2026-07-17T10:28:00,"672 W TENNESSEE ST , TALLAHASSEE, FL 32304",Cleared by Citation,30.4451336,-84.2936704
2026-07170053,FSUPD,DWLSR REVOCATION EQUIV STATUS 2ND OFF,2026-07-17T10:18:00,2026-07-17T10:18:00,"W TENNESSEE ST/DEWEY ST , Tallahassee, FL 32304",Cleared by Citation,,
2026-07160043,FSUPD,EXHIBIT FIREARM DESTR DEVIC WPN ON SCH PROP OR W/IN 1000 FT,2026-07-16T09:18:00,2026-07-16T09:18:00,"625 UNIVERSITY WAY , TALLAHASSEE, FL 32306",Cleared by Arrest,30.4399265,-84.2912651
2026-07160077,FSUPD,Petit theft Property value $100 but less than $750,2026-07-16T06:06:00,2026-07-16T20:11:00,"116 HONORS WAY , TALLAHASSEE, FL 32306",Open/Pending,30.4431683,-84.2950093
2026-07150085,FSUPD,BATTERY- TOUCH OR STRIKE ANOTHER,2026-07-15T18:29:00,2026-07-15T18:29:00,"824 W JEFFERSON ST, TALLAHASSEE, FL 32306",Open/Pending,30.4400453,-84.2968221
2026-07140068,FSUPD,DWLSR REVOCATION EQUIV STATUS 2ND OFF,2026-07-14T15:17:00,2026-07-14T15:18:00,"802 LAKE BRADFORD RD , TALLAHASSEE, FL 32304",Cleared by Citation,30.4354447,-84.3018405
2026-07140036,FSUPD,DWLSR REVOCATION EQUIV STATUS 2ND OFF,2026-07-14T09:06:00,2026-07-14T09:06:00,"1704 W CALL ST , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4488884,-84.3130014
2026-07280121,FSUPD,GRAND THEFT $750 LESS THAN $5K,2026-07-13T15:35:00,2026-07-28T15:38:00,"824 W JEFFERSON ST , TALLAHASSEE, FL 32306",Open/Pending,30.4400453,-84.2968221
2026-07140073,FSUPD,Burglary- PETIT THEFT 1ST DEG $100 LESS THAN $750,2026-07-13T13:00:00,2026-07-14T16:30:00,"938 W JEFFERSON ST , TALLAHASSEE, FL 32304",Inactive,30.4396925,-84.2987736
2026-08140098,FSUPD,grand theft of the third degree and a felony of the third degree,2026-07-13T12:00:00,2026-08-14T11:38:00,"1940 HERITAGE GROVE CIR 932-c, Tallahassee, FL 32304",Victim Refused to Cooperate,,
2026-07130066,FSUPD,UNLAWFUL SPEED MUNICIPAL RD,2026-07-13T11:01:00,2026-07-13T11:01:00,STARBUCKS TENNESSEE ST,Cleared by Citation,30.4487219,-84.3096581
2026-07130009,FSUPD,TRESPASS OF STRUCTURE OR CONVEYANCE,2026-07-13T01:12:00,2026-07-13T01:12:00,"505 W PENSACOLA ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.4377748,-84.2866345
2026-07200019,FSUPD,FRAUD USE FELONY OF CC MORE THAN 2 TIMES W/IN 6 MOS OR FOR $100 OR MORE,2026-07-09T09:18:00,2026-07-20T09:17:00,"830 W JEFFERSON ST , TALLAHASSEE, FL 32306",Victim Refused to Cooperate,30.4401802,-84.2976478
2026-07080110,FSUPD,Petit theft Property value $100 but less than $750,2026-07-08T14:43:00,2026-07-08T18:55:00,"821 ACADEMIC WAY , TALLAHASSEE, FL 32306",Open/Pending,30.44421,-84.295514
2026-07080081,FSUPD,OPERATE MOTOR VEHICLE WO VALID LICENSE 1ST CONV,2026-07-08T13:08:00,2026-07-08T13:09:00,"608 W TENNESSEE ST , TALLAHASSEE, FL 32304",Cleared by Citation,30.4447708,-84.291291
2026-07080068,FSUPD,DWLSR - UNKNOWINGLY,2026-07-08T11:30:00,2026-07-08T11:30:00,"WADSWORTH ST/W TENNESSEE ST , FL",Cleared by Citation,30.4487949,-84.3046887
2026-07080068,FSUPD,UNLAWFUL SPEED MUNICIPAL RD,2026-07-08T11:30:00,2026-07-08T11:30:00,"WADSWORTH ST/W TENNESSEE ST , FL",Cleared by Citation,30.4487949,-84.3046887
2026-07080031,FSUPD,ATTACH REGISTRATION LICENSE PLATE NOT ASSIGNED,2026-07-08T07:16:00,2026-07-08T07:16:00,"813 N LAKE BRADFORD RD , Tallahassee, FL 32304",Cleared by Citation,30.4331296,-84.301764
2026-07070070,FSUPD,DUI,2026-07-07T13:33:00,2026-07-07T13:33:00,"VARSITY DR/W PENSACOLA ST , FL",Cleared by Arrest,30.4388452,-84.3000895
2026-07070070,FSUPD,DWLS W/KNOWLEDGE FIN NOTICE,2026-07-07T13:33:00,2026-07-07T13:33:00,"VARSITY DR/W PENSACOLA ST , FL",Cleared by Arrest,30.4388452,-84.3000895
2026-07070070,FSUPD,POSSESSION OF CONTROLLED SUBSTANCE W/O PRESCRIPTION,2026-07-07T13:33:00,2026-07-07T13:33:00,"VARSITY DR/W PENSACOLA ST , FL",Cleared by Arrest,30.4388452,-84.3000895
2026-07080084,FSUPD,CRIMINAL MISCHIEF $200 OR LESS- 1ST OFFENSE,2026-07-07T11:00:00,2026-07-08T13:06:00,"319 STADIUM DR , Tallahassee, FL 32306",Inactive,30.444491,-84.3058508
2026-07070050,FSUPD,FAIL TO DISP DL UPON DEMAND,2026-07-07T10:05:00,2026-07-07T10:05:00,"1670 W TENNESSEE ST , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4493345,-84.3095674
2026-07070050,FSUPD,RESISTING ARREST W/OUT VIOLENCE,2026-07-07T10:05:00,2026-07-07T10:05:00,"1670 W TENNESSEE ST , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4493345,-84.3095674
2026-07070050,FSUPD,SPEED-DRIVING TOO SLOW,2026-07-07T10:05:00,2026-07-07T10:05:00,"1670 W TENNESSEE ST , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4493345,-84.3095674
2026-07060134,FSUPD,Petit theft Property value $100 but less than $750,2026-07-06T18:00:00,2026-07-06T22:39:00,"1104 SPIRIT WAY , TALLAHASSEE, FL 32306",Inactive,30.442636,-84.3062126
2026-07060086,FSUPD,BATTERY- TOUCH OR STRIKE ANOTHER,2026-07-06T12:55:00,2026-07-06T13:12:00,"143 HONORS WAY , TALLAHASSEE, FL 32306",Open/Pending,30.441183,-84.2933518
2026-07050071,FSUPD,DRIV WHILE LIC SUSPEND REVOCATION EQUIV STATUS 1ST OFFENSE,2026-07-05T12:39:00,2026-07-05T12:39:00,"296 CHAMPIONS WAY , TALLAHASSEE, FL 32306",Cleared by Citation,30.4367617,-84.3053119
2026-00004709,FSUPD,BURLARY OF OCCUP DWELLING WHILE UNARMED,2026-07-04T04:00:00,2026-07-04T08:38:00,"5000 N BAY DR , Panama City, FL 32405",Open/Pending,30.1887908,-85.7254129
2026-00004709,FSUPD,Loitering and Prowling,2026-07-04T04:00:00,2026-07-04T08:38:00,"5000 N BAY DR , Panama City, FL 32405",Open/Pending,30.1887908,-85.7254129
2026-07040007,FSUPD,OPERATE MOTORCYCLE W/O LICENSE,2026-07-04T01:10:00,2026-07-04T01:10:00,"444 W COLLEGE AVE 100, Tallahassee, FL 32301",Cleared by Arrest,,
2026-07030108,FSUPD,POSS DRIVER LIC/ID CARD W ALTERED DOB,2026-07-03T21:40:00,2026-07-03T21:40:00,"306 S DUVAL ST , Tallahassee, FL 32301",Cleared by Arrest,30.4397882,-84.283182
2026-07030108,FSUPD,POSSESSION OF ALCOHOL BY MINOR,2026-07-03T21:40:00,2026-07-03T21:40:00,"306 S DUVAL ST , Tallahassee, FL 32301",Cleared by Arrest,30.4397882,-84.283182
2026-00004585,FSUPD,NON SUPPORT OF CHILDREN OR SPOUSE,2026-07-02T23:20:00,2026-07-02T23:59:00,"CARL GRAY PARK 4600 COLLEGIATE DRIVE , PANAMA CITY, FL 32405",Cleared by Arrest,,
2026-07020111,FSUPD,GRAND THEFT $5K LESS THAN $10K,2026-07-02T22:45:00,2026-07-02T23:46:00,"516 W JEFFERSON ST , TALLAHASSEE, FL 32301",Open/Pending,30.4399398,-84.2891196
2026-07010097,FSUPD,Petit theft Property value $100 but less than $750,2026-07-01T08:00:00,2026-07-01T14:43:00,"403 STADIUM DR , TALLAHASSEE, FL 32306",Closed,30.4390185,-84.3063427
2026-06300127,FSUPD,FAILURE TO APPEAR OF DEFENDANT ON BAIL FOR MISDEMEANOR CHARGE,2026-06-30T14:20:00,2026-06-30T14:20:00,"N COPELAND ST/W CALL ST , TALLAHASSEE, FL",Cleared by Arrest,,
2026-06300127,FSUPD,OPERATE MOTOR VEHICLE W/O VALID LIC 3RD/SUBSQ,2026-06-30T14:20:00,2026-06-30T14:20:00,"N COPELAND ST/W CALL ST , TALLAHASSEE, FL",Cleared by Arrest,,
2026-06300127,FSUPD,UNLAWFUL SPEED,2026-06-30T14:20:00,2026-06-30T14:20:00,"N COPELAND ST/W CALL ST , TALLAHASSEE, FL",Cleared by Arrest,,
2026-06300117,FSUPD,"Theft - property stolen is valued at $100 or more, but less than $750",2026-06-30T07:15:00,2026-06-30T12:37:00,"403 STADIUM DR , TALLAHASSEE, FL 32306",Inactive,30.4390185,-84.3063427
2026-06300052,FSUPD,FALSE INFO TO LEO OF COMMISSION OF CRIME,2026-06-30T05:25:00,2026-06-30T05:25:00,"FSU CAMPUS , Tallahassee, FL",Open/Pending,,
2026-06290157,FSUPD,OPERATE MOTOR VEHICLE W/O VALID LIC 3RD/SUBSQ,2026-06-29T23:44:00,2026-06-29T23:44:00,"W GAINES ST/S WOODWARD AVE , TALLAHASSEE, FL 32304",Cleared by Citation,,
2026-06280021,FSUPD,TRESPASS OF OCCUP STRUCTURE OR CONVEYANCE,2026-06-28T02:43:00,2026-06-28T02:43:00,"714 UNIVERSITY WAY , TALLAHASSEE, FL 32306",Open/Pending,30.4406179,-84.2949849
2026-06270047,FSUPD,FAIL TO REGISTER MOTOR VEH,2026-06-27T09:24:00,2026-06-27T09:24:00,"W TENNESSEE ST/WHITE DR , FL",Cleared by Citation,,
2026-06270014,FSUPD,convicted of a vio of sub-1&who has a blood-alcohol level or breath-alcohol level of 0.15 or higher/ accomp by person under 18,2026-06-27T02:19:00,2026-06-27T02:19:00,"OCALA RD/CRABAPPLE DR , TALLAHASSEE, FL 32304",Cleared by Arrest,,
2026-06260088,FSUPD,GRAND THEFT OF MOTOR VEHICLE,2026-06-26T20:01:00,2026-06-26T20:01:00,"601 W GAINES ST , Tallahassee, FL 32304",Cleared by Arrest,30.435574,-84.2898379
2026-06240135,FSUPD,DWLS W/ KNOWLEDGE,2026-06-24T22:33:00,2026-06-24T22:33:00,"N MACOMB ST/W CALL ST , TALLAHASSEE, FL 32301",Cleared by Arrest,,
2026-07150067,FSUPD,BATTERY- TOUCH OR STRIKE ANOTHER,2026-06-24T18:15:00,2026-07-15T11:32:00,"1110 W CALL ST , TALLAHASSEE, FL 32306",Open/Pending,30.4443608,-84.2993762
2026-06250064,FSUPD,"Theft - property stolen is valued at $100 or more, but less than $750",2026-06-24T16:30:00,2026-06-25T13:16:00,"945 LEARNING WAY , TALLAHASSEE, FL 32306",Inactive,30.4413389,-84.3000725
2026-06220075,FSUPD,Other- PETIT THEFT 1ST DEG $100 LESS THAN $750,2026-06-22T13:23:00,2026-06-22T13:23:00,"824 W JEFFERSON ST , TALLAHASSEE, FL 32306",Inactive,30.4400453,-84.2968221
2026-06230094,FSUPD,Petit theft Property value $100 but less than $750,2026-06-21T12:00:00,2026-06-23T16:49:00,"119 HONORS WAY , TALLAHASSEE, FL 32306",Inactive,30.442567,-84.2940493
2026-06210052,FSUPD,TRESSPASS AFTER WARNING,2026-06-21T07:50:00,2026-06-21T07:50:00,"504 W CALL ST , Tallahassee, FL 32301",Cleared by Arrest,30.4436746,-84.2886957
2026-06250071,FSUPD,CRIMINAL MISCHIEF $1000 OR MORE,2026-06-19T17:00:00,2026-06-25T15:07:00,"1235 AIRPORT RD , FL",Open/Pending,30.4830002,-81.6504493
2026-06230096,FSUPD,Other- PETIT THEFT 1ST DEG $100 LESS THAN $750,2026-06-19T07:00:00,2026-06-23T17:08:00,"1147 ACADEMIC WAY , TALLAHASSEE, FL 32306",Inactive,30.447524,-84.3029516
2026-06180042,FSUPD,BURGLARY OF UNOCCUP DWELLING WHILE UNARMED,2026-06-18T05:30:00,2026-06-18T05:56:00,"1000 Block of W. TENNESSEE ST , Tallahassee, FL 32306",Open/Pending,,
2026-06180042,FSUPD,TRESPASSING,2026-06-18T05:30:00,2026-06-18T05:56:00,"1000 Block of W. TENNESSEE ST , Tallahassee, FL 32306",Open/Pending,,
2026-06170118,FSUPD,BATTERY- TOUCH OR STRIKE ANOTHER,2026-06-17T23:13:00,2026-06-17T23:15:00,"1520 JACKSON BLUFF RD , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4349135,-84.307148
2026-06170118,FSUPD,BURGLARY W/ ASSAULT OR BATTERY,2026-06-17T23:13:00,2026-06-17T23:15:00,"1520 JACKSON BLUFF RD , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4349135,-84.307148
2026-06170118,FSUPD,CRIMINAL MISCHIEF $201 - $999- 1ST OFFENSE,2026-06-17T23:13:00,2026-06-17T23:15:00,"1520 JACKSON BLUFF RD , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4349135,-84.307148
2026-06180052,FSUPD,Petit theft Property value $100 but less than $750,2026-06-17T12:00:00,2026-06-18T08:53:00,"830 W JEFFERSON ST , Tallahassee, FL 32306",Open/Pending,30.4401802,-84.2976478
2026-06160056,FSUPD,CARELESS DRIVING,2026-06-16T08:58:00,2026-06-16T08:58:00,"104 N WOODWARD AVE 1, TALLAHASSEE, FL 32306",Cleared by Citation,,
2026-06150119,FSUPD,TRESPASSING,2026-06-15T22:42:00,2026-06-15T22:42:00,"114 N COPELAND ST , Tallahassee, FL 32306",Cleared by Arrest,30.4422851,-84.2915194
2026-06170098,FSUPD,Petit theft Property value $100 but less than $750,2026-06-14T15:00:00,2026-06-17T20:54:00,"824 W JEFFERSON ST , TALLAHASSEE, FL 32306",Inactive,30.4400453,-84.2968221
